AMAZONAS;1391
ANCASH;7363
APURIMAC;1696
AREQUIPA;10636
AYACUCHO;2423
CAJAMARCA;4615
CALLAO;10853
CUSCO;5291
HUANCAVELICA;1296
HUANUCO;2951
ICA;9084
JUNIN;7602
LA LIBERTAD;11005
LAMBAYEQUE;9294
LIMA METROPOLITANA;8
LORETO;4352
MADRE DE DIOS;884
MOQUEGUA;1709
PASCO;1131
PIURA;13101
PUNO;4836
SAN MARTIN;3228
TACNA;2264
TUMBES;1756
UCAYALI;3217
